Nombre grupo,Nombre,Cod. Fact,Cod,FAM,Marca,Pdte 05.05,Fact a abr12,Fact a abr11,FC NT abr12,FC NT abr11,Ped a abr12,Ped a abr11,Fact_tot 2011,Fact_tot 2010,Pzas último pedido,Fecha últ. Ped.,Provincia,Dirección,Localidad,CP,Tel.
IMPORTANTES 1,OXFORD CENTRO VISION RODERO PATERNA MARIA JOSE,000562,000562,Y39,MAX,,,,,,,,-1,0,,,MURCIA,"PUERTA DE MURCIA, 6-8",CARTAGENA (MURCIA),30201,968507592
CIOSA,EUROPTICA GARCIA SANCHEZ AMPARO,008337,007306,,MAX,,,,,,,,0,5,,,MURCIA,"BUEN SUCESO, 53",CIEZA (MURCIA),30530,968455297
CECOP,"FONTANA, OPTICA OPTICA FONTANA C.B.",008845,008845,,MAX,,,,,,,,0,1,,,MURCIA,"AVD.FILIPINAS, 30",EL ALGAR (MURCIA),30366,968136435
CIOSA,"EL RAAL, OPTICA OPTICA EL RAAL, S.L.L.",008337,006700,,MAX,,0,1,0.00,49.00,0.00,1.00,1,-2,,,MURCIA,"C/ MAYOR, 343",EL RAAL ( MURCIA ),30139,968870199
IMPORTANTES 1,"OXFORD, OPTICA SANCHEZ RODERO MARIA JOSE",005721,005721,Y39,MAX,,,,,,,,0,-3,,,MURCIA,"GRAN VIA, 56",FUENTE ALAMO (MURCIA),30320,968597999
,"CORREDERA, OPT. OPTICA CORREDERA, S.L.",010993,010993,,MAX,,,,,,,,0,0,,,MURCIA,"CORREDERA, 26",LORCA (MURCIA),30800,968478479
MULTIOPTICAS,"CRISTAL, OPTICA GERMANOPTIC S.L.",003311,003311,Y15,MAX,,0,1,0.00,50.00,0.00,-1.00,1,6,,,MURCIA,"AV. JUAN CARLOS I, 23",LORCA (MURCIA),30800,968467905
CIOSA,"SANTA ROSA, C.OPT. GARCIA-BAYONAS PARDO MANUEL",008337,004603,,MAX,,0,2,0.00,109.00,0.00,2.00,1,5,,,MURCIA,"LOPE GISBERT, 25",LORCA (MURCIA),30800,968465653
REDVISUAL-PROVISION,"VISUAL, OPTICO ROMERO FERNANDEZ RAMON",008779,008779,,MAX,,,,,,,,1,,,,MURCIA,"AVD.SAN JUAN BOSCO, 23",LOS DOLORES-CARTAGENA (MUR,30310,968310342
IMPORTANTES 1,"VIREX, OPTICA VICENTE REX FCO JOSE",005446,005446,Y46,MAX,,0,1,0.00,63.00,0.00,-2.00,1,6,,,MURCIA,"SANTA TERESA, 7",MOLINA DE SEGURA (MURCIA),30500,968642832
REDVISUAL-PROVISION,"BELO, OPTICA OPTICA BELO, S.L.",000065,000065,,MAX,,0,1,0.00,60.00,0.00,1.00,1,0,,,MURCIA,"PLATERIA, 4",MURCIA,30004,968213202
CLIENTES IMPORTANTES,"GRAN VISION, OPTICA PEREZ PUCHE JULIAN JOSE",008581,008581,,MAX,,4,18,201.00,"1,046.00",5.00,18.00,18,,4,2012-01-25,MURCIA,"ALAMEDA CAPUCHINOS, 6",MURCIA,30002,968937386
CECOP,IVISUAL CUADRUPANI BOSQUED ANTONIA,008695,008695,,MAX,,,,,,,,0,5,,,MURCIA,"PASEO DUQUES DE LUGO, S/N",MURCIA,30009,968297392
CIOSA,"MEDICA, OPTICA OPTICA MEDICA, C.B.",008337,001740,,MAX,,1,0,49.00,0.00,1.00,0.00,,,,,MURCIA,"CEBALLOS, 5",MURCIA,30003,968909790
CLIENTES IMPORTANTES,MORA S.L.-GRADUADO-,007519,007519,Y56,MAX,1,2,2,109.00,109.00,3.00,6.00,11,,3,2012-03-01,MURCIA,"PUXMARINA, 1",MURCIA,30004,968217777
CLIENTES IMPORTANTES,"SOCIEDAD, OPTICA A.GARCIA MERINO Y OTRA C.B.",009831,009831,,MAX,,3,4,168.00,220.00,3.00,1.00,4,8,,,MURCIA,"SOCIEDAD, 9",MURCIA,30004,968225097
CIOSA,"UNIVERSIDAD, OPT. UNIVERSIDAD,S.L.OPTICA",008337,001201,,MAX,,,,,,,,3,,,,MURCIA,"SANTO CRISTO, 9",MURCIA,30001,968236364
FEDEROPTICOS,"VISTA ALEGRE, OPTICA PILAR MARIN, PABLO NAVARRO C.B",006134,006134,,MAX,,,,,,,,0,7,,,MURCIA,"MARIA MAROTO, 14",MURCIA,30007,968241726
FARMAOPTICS,NUR CENTRO OPTICO MARTINEZ GUIL GLORIA,013347,013347,,MAX,,,,,,,,0,5,,,MURCIA,"PEDRARIAS DAVILA, 10 BAJO",POZO ESTRECHO (MURCIA),30594,968556453
CECOP,LOYRA OPTICOS CASTAÑO LOPEZ CRISTINA,011262,011262,,MAX,,,,,,,,0,1,,,MURCIA,"AVD.ROLDAN, 85",TORRE PACHECO (MURCIA),30700,968576374
ZAS VISION,"PRINCIPAL, OPTICA OPT. PRINCIPAL Y ASOCIADOS S.L",003588,013043,,MAX,,0,1,0.00,52.00,0.00,0.00,1,10,,,MURCIA,"MAYOR, 108","UNION, LA (MURCIA)",30360,968560429
CECOP,"ZENETA, C.OPT. HUERTA GUTIERREZ MIGUEL",005967,005967,,MAX,,,,,,,,0,3,,,MURCIA,"AV. JUAN CARLOS I, 101 A",ZENETA (MURCIA),30588,968854054
CECOP,"MONTRULL, OPTICA MONTRULL PERALES M TERESA",003819,003819,,MAX,,0,8,0.00,461.00,0.00,10.00,9,13,,,VALENCIA,"CERVANTES,4",ALGEMESI (VALENCIA),46680,962481189
FARMAOPTICS,ALMASSERA FERNANDEZ-VICENTI GARRIDO EMMA,005644,005644,,MAX,,,,,,,,8,23,8,2011-08-30,VALENCIA,"VALENCIA, 1",ALMASSERA (VALENCIA),46132,961858533
PRIMERA OPTICOS,"AVENIDA, OPTICA VIRGEN DE LUJAN S.L.",002425,002425,,MAX,,,,,,,,0,14,,,VALENCIA,"NUESTRA SEÑORA DEL LUJAN, 1 APARTADO DE CORREOS 153",ALZIRA (VALENCIA),46600,962401415
PREFERENTES,"BELLREGUARD, OPT. ESCRIVA BLASCO MIRIAM",003941,003941,,MAX,,2,0,123.00,0.00,2.00,0.00,3,1,,,VALENCIA,"REI EN JAUME, 6",BELLREGUART (VALENCIA),46713,962815251
REDVISUAL-PROVISION,"CLERIGUES, OPTICA CLERIGUES BALTASAR CARMEN",008733,008733,,MAX,,,,,,,,-1,6,,,VALENCIA,"ANGEL, 15",BENIFAYO (VALENCIA),46450,961780017
CECOP,"ALCOCER, C.OPT. OPTICA ALCOCER, C.B.",008652,008652,,MAX,,,,,,,,0,3,,,VALENCIA,"CARRETERA LIRIA, 25",BURJASOT (VALENCIA),46100,963638070
OPTIMIL ASOCIADOS,OPTIMIL BURJASOT ALONSO MARTINEZ CARMEN,006479,013419,,MAX,,0,-1,0.00,-40.00,0.00,0.00,-1,0,,,VALENCIA,"PZA.GOMEZ FERRER, 2",BURJASOT (VALENCIA),46100,963639409
VISTALIA,"CARCAGENTE, C.OPT. CENTRE OPTIC CARCAIXENT S.L.",004718,004718,,MAX,,0,5,0.00,305.00,0.00,9.00,8,15,,,VALENCIA,"JULIAN RIBERA, 32",CARCAIXENT (VALENCIA),46740,962460435
CIOSA,"CARLET, OPT. OPTICA CARLET S.L.",008337,003651,,MAX,,,,,,,,0,9,,,VALENCIA,"BALAGUER,2",CARLET (VALENCIA),46240,962532071
ZAS VISION,"CREMADES, OPTICA OPTICA CREMADES S.L.",003588,010292,,MAX,,2,0,112.00,0.00,0.00,-1.00,10,18,15,2011-10-16,VALENCIA,"AV. VALENCIA, 25",CASINOS (VALENCIA),46171,962700274
,"CATARROJA, OPT. C. OPT. POBLA LLARGA, S.L",012938,012938,,MAX,,0,1,0.00,53.00,0.00,1.00,1,18,,,VALENCIA,"RAMóN Y CAJAL, 49",CATARROJA (VALENCIA),46470,961266238
OPTICALIA,OPTICA CATARROJA OPTICA LA POBLA S.L.,012306,012306,,MAX,,0,27,0.00,"1,452.00",-3.00,29.00,48,,19,2011-10-13,VALENCIA,"RAMON Y CAJAL, 49",CATARROJA (VALENCIA),46470,961266238
PRIMERA OPTICOS,"LOZANO, OPT. OPTICAS LOZANO S.L.",003157,003157,,MAX,,1,0,57.00,0.00,1.00,0.00,7,15,7,2011-06-28,VALENCIA,"CHIVA, 39",CHESTE (VALENCIA),46380,962510797
FARMAOPTICS,SANZ. OPT. SANZ CASANOVA PURIFICACION,003427,003427,,MAX,,1,1,56.00,69.00,1.00,1.00,16,45,23,2011-09-19,VALENCIA,"CTRA. TORRENTE, 26",CHIRIVELLA (VALENCIA),46950,963833486
CIOSA,"CHIVA, OPT. AVIÑO IGUAL Mª GEMMA",008337,007049,,MAX,,1,0,54.00,0.00,-1.00,0.00,1,0,2,2011-11-26,VALENCIA,"DR. NACHER, 62",CHIVA (VALENCIA),46370,962522234
PREFERENTES,"ARGENTE, OPTICA OPTICA ARGENTE S.L",013167,013167,,MAX,,,,,,,,0,-1,,,VALENCIA,"LA MARINA,2",CULLERA (VALENCIA),46400,961723735
VISTALIA,"ENGUERA, OPT. MARTINEZ GARRIDO CELIA",007607,007607,Y32,MAX,,0,3,0.00,170.00,0.00,3.00,3,,,,VALENCIA,"PZA. DEL CONVENTO, 9",ENGUERA (VALENCIA),46810,962224808
MULTIOPTICAS,"BORJA II, OPTICA BORJA ALBI LUIS",000070,000070,X13,MAX,,,,,,,,-1,13,,,VALENCIA,"PASEO GERMANIAS, 69",GANDIA (VALENCIA),46700,962860911
IMPORTANTES 1,"BORJA, OPTICA BORJA OPTICOS, S.L",000069,000069,M04,MAX,,0,-5,0.00,-292.00,0.00,0.00,-4,-1,,,VALENCIA,"SAN FRANCISCO BORJA, 57 APARTADO DE CORREOS, 122",GANDIA (VALENCIA),46700,962872444
CLIENTES IMPORTANTES,"GONZALO, OPTICO OPTICA GONZALO, S.L.",006006,006006,,MAX,,20,15,"1,118.00",926.00,20.00,17.00,35,26,3,2012-01-17,VALENCIA,"PZ. LEANDRO CALVO, 2-B",GANDIA (VALENCIA),46700,962871407
CLIENTES IMPORTANTES,"PASCUAL, OPTICA S.GREGORI PASCUAL Y HNOS.",008084,008084,,MAX,,0,7,0.00,446.00,0.00,6.00,8,32,,,VALENCIA,"MAYOR, 25",GANDIA (VALENCIA),46700,962872290
OPTICALIA,"VELEZ, OPTICA OPTICA VELEZ, S.L.",005767,005767,,MAX,,0,3,0.00,174.00,0.00,5.00,4,8,,,VALENCIA,"P.GERMANIAS, 60",GANDIA (VALENCIA),46700,962877635
CIOSA,"RIBES, OPT. RIBES VICEDO INMACULADA",008337,003824,,MAX,,,,,,,,6,4,7,2011-10-19,VALENCIA,"DUQUE CARLOS DE BORJA, 18",GANDIA-VALENCIA,46701,962876084
CLIENTES IMPORTANTES,"LA ELIANA, C.OPT. CENTRE OPTIC L'ELIANA SL",007658,007658,,MAX,,0,13,0.00,769.00,0.00,20.00,18,6,,,VALENCIA,"MARQUES DE CACERES, 20",LA ELIANA (VALENCIA),46183,961656902
PREFERENTES,"MORDICK OPTICOS MORDICK SERVICIOS OPTICOS, S.L",010835,010835,,MAX,,,,,,,,0,1,,,VALENCIA,"AV.ALCALDE ENRIQUE DARIES, 5",LA ELIANA (VALENCIA),46183,962744482
,"LA POBLA, OPTICA C. OPT. LA POBLA LLARGA S.L",012939,012939,,MAX,,,,,,,,0,5,,,VALENCIA,"GLORIETA, 1 BAJO",LA POBLA LLARGA (VALENCIA),46670,962590522
CLARAVISION,"BONO CARRIO, OPTICA CARRIO SERVERA JULIAN",000187,000187,,MAX,,,,,,,,1,9,,,VALENCIA,"PLAZA MAYOR,6",LLOMBAY (VALENCIA),46195,962990940
ZAS VISION,"AVINGUDA JAUME I, OPT. OPTICA AVINGUDA JAUME I, S.L",003588,012246,,MAX,,,,,,,,1,,,,VALENCIA,"AVDA. JAUME I, 25",MONTSERRAT (VALENCIA),46192,962986021
MULTIOPTICAS,"BORJA, OPT. BORJA OPTICOS OLIVA S.L.",002714,002714,X13,MAX,3,8,6,481.00,304.00,10.00,7.00,19,27,8,2012-04-08,VALENCIA,ALEJANDRO CARDONA. 5,OLIVA (VALENCIA),46780,962839747
IMPORTANTES 1,"BORJA, OPTICA BORJA ASOCIADOS S.L.",002060,002060,M04,MAX,,,,,,,,2,0,,,VALENCIA,"GOMIS, 1",ONTENIENTE (VALENCIA),46870,962381827
CIOSA,"JORGE, OPTICA BENAVENT ALONSO JORGE",008337,004482,,MAX,1,6,15,326.00,885.00,7.00,17.00,27,12,7,2012-02-03,VALENCIA,"SAN JAIME, 1",ONTENIENTE (VALENCIA),46870,962911516
PRIMERA OPTICOS,NIKOL OPTICOS SERNA REVERT CONCEPCION,001975,001975,,MAX,,,,,,,,0,13,,,VALENCIA,"JOSE SIMO MARIN, 7",ONTENIENTE (VALENCIA),46870,962380954
CLARAVISION,CLARAVISION 4 ONTENIENTE OPTICA CLARAVISION VALENCIA SL,009916,009916,,MAX,,,,,,,,2,,,,VALENCIA,MARTINEZ VALLS Nº 27,ONTENIENTE(VALENCIA),46870,961911296
FARMAOPTICS,"ESTIL VISIO, OPT. PENADES Y TORRO INMA",003072,003072,,MAX,,,,,,,,9,,7,2011-09-16,VALENCIA,"SALVADOR TORMO, 32",ONTINYENT (VALENCIA),46870,962916151
ZAS VISION,"PALAU, OPT.PARAFARMACIA FAPEMAR 2009, S.L",003588,012942,,MAX,,,,,,,,0,24,,,VALENCIA,"MEDICO BALLESTER 17, BAJO",PATERNA (VALENCIA),46980,686170189
,"PATERNA, OPT. C. OPT. POBLA LLARGA, S.L",012936,012936,,MAX,,,,,,,,0,10,,,VALENCIA,"MAYOR, 7",PATERNA (VALENCIA),46980,961371775
ZAS VISION,"PORCAR, OPTICA PORCAR IZQUIERDO ESTEBAN",003588,005537,,MAX,,1,10,51.00,592.00,1.00,11.00,12,2,,,VALENCIA,POETA LLORENTE 9,POBLA VALLBONA (VALENCIA),46185,962760587
MULTIOPTICAS,"COMENGE, MULTIOPTICAS OPTICAS COMENGE, S.L",012921,012921,W43,MAX,,,,,,,,0,-1,,,VALENCIA,"CAMP DE MORVEDRE, 12",PUERTO SAGUNTO (VALENCIA),46520,962684291
CECOP,"VORA MAR, OPTICA MARTINEZ PAUL SOFIA",007979,007979,,MAX,,,,,,,,0,1,,,VALENCIA,"VIRGEN DEL CARMEN, 34",PUERTO SAGUNTO (VALENCIA),46520,962683331
FARMAOPTICS,CONCHA LUCENA LUCENA HERRAEZ CONCHA,004617,004617,,MAX,,,,,,,,0,3,,,VALENCIA,"TRAFALGAR, 30",QUART DE POBLET (VALENCIA),46930,961523186
PROGRAM ITALOVISION,"PROGRAM VISION UNAX OPTICA, S.L.L.",011141,011141,,MAX,,,,,,,,0,15,,,VALENCIA,"EL PESO, 22",REQUENA (VALENCIA),46340,962304381
REDVISUAL-PROVISION,"RIBELLES, OPTICA RIBELLES LERGA AMADEO",008242,008242,,MAX,,2,0,106.00,0.00,2.00,0.00,,,2,2012-02-21,VALENCIA,"HUERTOS, 25",SAGUNTO (VALENCIA),46500,962661212
ZAS VISION,"VISIO-LENT, OPT. TORMOS FELIP RAFAEL",003588,003148,,MAX,,0,1,0.00,58.00,0.00,0.00,,,,,VALENCIA,C/ VALENCIA 40 BAJO,SILLA (VALENCIA),46460,961211652
REDVISUAL-PROVISION,"ALTUR, OPTICA ALTUR ALTUR ESTEFANIA",011065,011065,,MAX,,0,2,0.00,106.00,0.00,2.00,2,0,,,VALENCIA,"FONT MENOR, 22",SIMAT VALLDIGNA (VALENCIA),46750,616345640
CLIENTES IMPORTANTES,"SIGNES, OPTICA SIGNES SANCHO VICENTA",002438,002438,,MAX,,1,14,57.00,837.00,0.00,15.00,21,20,7,2011-09-23,VALENCIA,"CULLERA, 37",SUECA (VALENCIA),46410,961703673
VISTALIA,"SUECA, OPTICA ESTORNELL IBOR MARIA TERESA",005608,005608,Y26,MAX,,,,,,,,2,7,,,VALENCIA,"MARE DE DEU, 4",SUECA (VALENCIA),46410,961712616
CECOP,"TALIO, OPTICA GOMEZ NAVARRO EDUARDO",000694,000694,,MAX,,0,10,0.00,614.00,0.00,11.00,20,0,9,2011-10-18,VALENCIA,"MARE DE DEU, 32",SUECA (VALENCIA),46410,961700892
CLIENTES IMPORTANTES,"ELSA, OPTICA ENGUIX MANCLUS ELSA",002112,002112,X90,MAX,,0,16,0.00,917.00,0.00,18.00,16,21,,,VALENCIA,"PASEO PAIS VALENCIANO, 1",TABERNES VALLDIGNA(VALENCI,46760,962823512
IMPORTANTES 1,PERFUMES ONLINE VALENCIA PERFUMES ONLINE VALENCIA S.L,012413,012413,Y35,MAX,,,,,,,,0,-27,,,VALENCIA,"DOCTOR BARRAQUER 7, BAJO",TAVERNES BLANQUES-VALENCIA,46016,902555145
ZAS VISION,"TAVERNES, OPTICA GRUPO MONOTROPA, S.L.",003588,008503,,MAX,,,,,,,,4,9,,,VALENCIA,"AUSIAS MARCH, 3 BAJO",TAVERNES BLANQUES-VALENCIA,46016,961861660
CECOP,CENTRE AUDIOPTIC PELLICER TALENS BENJAMIN,008841,008841,W44,MAX,,0,10,0.00,563.00,0.00,10.00,10,,,,VALENCIA,"AVD.GERMANIAS, 29",TAVERNES VALDIGNA-VALENCIA,46760,962837337
CLIENTES IMPORTANTES,"CHULIA, OPTICA OPTICAS CHULIA, S.L.",010521,010521,,MAX,,,,,,,,0,-1,,,VALENCIA,"FERNANDO FURIO ROCA, 4",TORRENT (VALENCIA),46900,961570347
CLIENTES IMPORTANTES,"NOVA VISIO, OPTICA NOVA VISIO TORRENT S.L.",007671,007671,,MAX,,-1,1,-54.00,41.00,0.00,-1.00,0,6,,,VALENCIA,"AZORIN, 38 BAJO",TORRENT (VALENCIA),46900,961567119
PRIMERA OPTICOS,"NUEVA OPTICA TORRENT NUEVA OPTICA TORRENT,S.L",002856,002856,X25,MAX,,0,16,0.00,906.00,0.00,16.00,23,,,,VALENCIA,"AVINGUDA AL VEDAT, 9",TORRENTE (VALENCIA),46900,961556011
PRIMERA OPTICOS,"VISUALTORRENT, S.L",010987,010987,,MAX,,0,15,0.00,853.00,0.00,15.00,15,,,,VALENCIA,"AVD.AL VEDAT, 117",TORRENTE (VALENCIA),46900,961080130
OPTICALIA,"UTIEL, OPTICALIA LOPEZ HERNANDEZ EVA Mª",013258,013258,,MAX,,,,,,,,0,2,,,VALENCIA,"SAN FERNANDO, 28",UTIEL (VALENCIA),46300,962172089
ZAS VISION,"BALLESTER, OPTICA OPTICA BALLESTER S.C.P.",003588,002041,,MAX,,10,15,495.00,851.00,13.00,14.00,37,36,10,2012-01-23,VALENCIA,"PZA.ENCARNACION, 2/ESQ.CARNIC.",VALENCIA,46001,963915631
IMPORTANTES 1,"BARELLES, OPTICA BARELLES PASTOR FRANCISCA",004295,004295,,MAX,,2,18,110.00,981.00,2.00,18.00,21,24,,,VALENCIA,"GUARDIA CIVIL, 22",VALENCIA,46020,963935074
PREFERENTES,"BILBAO, OPTICA CARBONEL GIMENO FILIBERTO",004057,004057,,MAX,,0,1,0.00,57.00,0.00,-1.00,1,10,,,VALENCIA,"BILBAO, 27",VALENCIA,46009,963666211
ZAS VISION,"CABAÑAL, C.OPT. BERNABEU PASCUAL",003588,004508,X03,MAX,,0,16,0.00,913.00,0.00,16.00,28,,12,2011-05-31,VALENCIA,"MEDITERRANEO, 26",VALENCIA,46011,963713274
CLIENTES IMPORTANTES,"CENTRO FARMACEUTICO (OPTICA)   CENTRO FARMACEUTICO, S.A.",001993,001993,Y31,MAX,,0,4,0.00,229.00,0.00,5.00,4,13,,,VALENCIA,"GREMIS, 15 PGN. VARA",VALENCIA,46014,963830318
PRIMERA OPTICOS,"CENTRO, OPT. RODILLA SUBIELA FCO JAVIER",002337,002337,,MAX,,0,-1,0.00,-59.00,0.00,0.00,-1,1,,,VALENCIA,"LOS DERECHOS, 37",VALENCIA,46001,963911096
ZAS VISION,"FERRANLUZ, OPTICA FERRANDIZ LOPEZ ANSELMO",003588,000283,X60,MAX,,1,4,55.00,216.00,1.00,7.00,6,2,,,VALENCIA,"CADIZ, 49",VALENCIA,46006,963336280
ZAS VISION,"FERRANLUZ, OPTICA FERRANDIZ LOPEZ ANSELMO",003588,002363,X60,MAX,,0,2,0.00,111.00,0.00,1.00,4,1,,,VALENCIA,"RUZAFA, 51",VALENCIA,46006,963749037
ZAS VISION,"INSA, OPTICA INSA ESCRIVA JOSE ANTONIO",003588,002444,,MAX,,,,,,,,0,2,,,VALENCIA,"TORRETA DE MIRAMAR, 1",VALENCIA,46020,963616992
OPTICALIA,INST.VALENCIANO DE LA VISION   INST.VALENCIANO VISION S.L,005544,005544,W52,MAX,,,,,,,,0,-7,,,VALENCIA,AVD. USIAS MARCH 33 BAJO ACC. C/RUBEN VELA S/N,VALENCIA,46013,963924456
CLIENTES IMPORTANTES,"JORGE, OPTICA RUIZ JORGE, S.L.",002541,002541,Y53,MAX,,,,,,,,0,12,,,VALENCIA,"BRASIL, 25",VALENCIA,46098,963599123
OPTIMIL ASOCIADOS,OPTIMIL CANDELA DIRUOP S.L.,009499,009499,,MAX,,,,,,,,0,1,,,VALENCIA,"MANUEL CANDELA, 38",VALENCIA,46021,963285580
IMPORTANTES 1,"PEPE BOSCA, OPTICO BOSCA FERRANDIS JOSE",000578,000578,,MAX,,,,,,,,0,-1,,,VALENCIA,"MARQUES DE TURIA, 53",VALENCIA,46005,963520326
ZAS VISION,ROIG OPTICOS HEREDEROS DE ROIG S.L,003588,011884,,MAX,,,,,,,,0,16,,,VALENCIA,"ALBORAYA, 28",VALENCIA,46010,963605982
CLIENTES IMPORTANTES,"RUIZ, OPTICA RUIZ JORGE, S.L.",000634,000634,Y53,MAX,,,,,,,,0,5,,,VALENCIA,"AVDA. DEL CID, 102",VALENCIA,46018,963798111
IMPORTANTES 1,"SANCHIS Y CHAMERO, FCIA.OPT.   SANCHIS Y CHAMERO, S.L.",008412,008412,,MAX,1,29,60,"1,465.00","3,305.00",31.00,63.00,63,35,31,2012-02-22,VALENCIA,"CONVENTO JERUSALEN, 22",VALENCIA,46007,963518334
REDVISUAL-PROVISION,"TECNO-LENT, OPTICA TECNO-LENT OPTICA, S.L.",008985,008985,,MAX,,1,0,56.00,0.00,-2.00,0.00,4,,6,2011-11-04,VALENCIA,"CERAMISTA ROS, 18",VALENCIA,46014,963288595
,"VEGA, OPTICA VEGA CORELL OPTICOS, S.L.",011044,011044,,MAX,1,0,0,0.00,0.00,1.00,0.00,,,,,VALENCIA,"PZA.SEGOVIA, 1",VALENCIA,46017,963283564
CECOP,"ZAPADORES, C.OPT. AHULLANA ALBELDA MARIA AMPARO",002458,002458,,MAX,,0,1,0.00,52.00,0.00,-1.00,2,18,,,VALENCIA,"ZAPADORES, 37",VALENCIA,46006,963747209
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU ASOCIADOS MARTINEZ FOLCH CARMEN,010355,010355,,MAX,1,2,1,106.00,53.00,1.00,5.00,5,10,,,VALENCIA,"ALAMEDA JAUME I, 36",XATIVA (VALENCIA),46800,962280908
FEDEROPTICOS,"CANO, OPTICA FOLCH CANO ALICIA",003893,003893,,MAX,,0,0,0.00,0.00,0.00,-2.00,8,16,8,2011-05-16,VALENCIA,"PZA. LA BASSA, 28",XATIVA (VALENCIA),46800,962276815
CIOSA,"IBORRA, OPTICA OPTICA ALEJANDRO IBORRA S.L.U",008337,012787,,MAX,,,,,,,,0,12,,,VALENCIA,"CARLOS SARTHOU, 6",XATIVA (VALENCIA),46800,962275179
MULTIOPTICAS,"JATIVA, C.OPT. C.OPT. JATIVA, S.L.",001297,001297,M07,MAX,,,,,,,,0,3,,,VALENCIA,BAJADA DE LA ESTACION 6,XATIVA (VALENCIA),46800,962277729
OPTICALIA,"JATIVA, OPTICALIA OPTICAS DE XATIVA Y CANALS,S.L",012769,012769,,MAX,,,,,,,,0,59,,,VALENCIA,"AV.  ALAMEDA JAIME I , 13",XATIVA (VALENCIA),46800,962276964
PREFERENTES,MARTINEZ OPTICOS FOLCH MARTINEZ CARMEN,006224,006224,,MAX,,-1,0,-55.00,0.00,0.00,0.00,3,,,,VALENCIA,"PZA. ESPAÑOLETO, 4",XATIVA (VALENCIA),46800,962271985
PREFERENTES,"PILAR ARANDA, OPTICA ARANDA BELLVER PILAR",006611,006611,,MAX,,0,4,0.00,244.00,0.00,6.00,6,2,,,VALENCIA,"TROBAT, 24",XATIVA (VALENCIA),46800,962274799
CECOP,"AMERICANA, OPT. OPTICA AMERICANA C.B.",007322,007322,,THF,14,25,0,"1,054.00",0.00,40.00,0.00,,,11,2012-04-11,ALBACETE,"MARQUES DE MOLINS, 17",ALBACETE,02001,967211592
IMPORTANTES 1,"CENTRAL OPTICA FRONTOMAN, S.A.",000106,000106,,THF,1,16,12,624.00,535.00,15.00,11.00,33,32,10,2011-06-12,ALBACETE,"ROSARIO, 62",ALBACETE,02003,967226368
CIOSA,"CLAMOR, C.OPT. OPT.BRAVO Y CLAMOR, C.B.",008337,000355,,THF,10,15,0,638.00,0.00,30.00,0.00,,,6,2012-04-11,ALBACETE,"ROSARIO, 11",ALBACETE,02001,967212086
OPTICALIA,"FERELEN OPTICOS FERELEN OPTICOS, S.R.L.L.",011558,011558,,THF,,1,0,59.00,0.00,1.00,0.00,30,,31,2011-06-08,ALBACETE,"PZA.ISABEL II, 1 BAJO",ALBACETE,02005,967605100
CECOP,"GARVI, OPT. LOPEZ CRUZ HUMILDAD",003387,003387,,THF,,4,0,181.00,0.00,-4.00,0.00,27,,31,2011-11-09,ALBACETE,C/PADRE ROMANO 12,ALBACETE,02005,967520777
CLIENTES IMPORTANTES,"LUIS DIEZ, GRUPO DE MODA MAMPIMAN 3000 ALBACETE, S.L.",011661,011661,,THF,,2,0,96.00,0.00,2.00,0.00,,,,,ALBACETE,"OCTAVIO CUARTERO, 8 ESQ. MARQUES DE VILLARES",ALBACETE,02003,967247754
FEDEROPTICOS,"MORENO, FEDEROPTICOS MORENO CIFUENTES JUAN ANGEL",008350,008350,,THF,,2,26,71.00,"1,272.00",2.00,26.00,28,,,,ALBACETE,"TEODORO CAMINO, 36",ALBACETE,02002,967227926
MULTIOPTICAS,"PEREZ SETIEN, OPTICA PEREZ SETIEN S.A.",001145,001145,M06,THF,11,24,21,"1,167.00","1,019.00",64.00,18.00,80,25,4,2012-04-02,ALBACETE,"ROSARIO, 35",ALBACETE,02001,967214821
PRIMERA OPTICOS,"VISUALENT, OPTICA VISUALENT 2000 S.L.",007071,007071,,THF,10,26,0,"1,241.00",0.00,37.00,0.00,,,37,2012-03-23,ALBACETE,"DIONISIO GUARDIOLA, 55",ALBACETE,02003,967511110
CECOP,"HOYOS, C.OPT. HOYOS COSTA RAQUEL",008293,008293,,THF,,1,0,38.00,0.00,0.00,0.00,44,,1,2011-09-29,ALBACETE,"SAN FRANCISCO, 1",ALMANSA (ALBACETE),02640,967343450
ZAS VISION,"LUCAS, OPTICA-JOYERIA FERNANDEZ ORTEGA LUCAS",003588,006680,,THF,,,,,,,,25,,26,2011-06-08,ALBACETE,"C/ LA ZAFRA, 21, BAJO",CAUDETE ( ALBACETE),02660,965827421
MULTIOPTICAS,MULTIOPTICAS OPTICA FAJARDO C.B.,007943,007943,M06,THF,4,9,0,468.00,0.00,14.00,0.00,21,,4,2012-04-02,ALBACETE,"GRAN VIA, 25",HELLIN (ALBACETE),02400,967302832
CECOP,"SOLER, OPTICO MARTINEZ SOLER MANUEL",005227,005227,,THF,,6,0,269.00,0.00,2.00,0.00,30,,20,2011-09-09,ALBACETE,"LOPEZ DEL ORO, 17",HELLIN (ALBACETE),02400,967301108
MULTIOPTICAS,"PEREZ SETIEN, OPTICO LA RODA VISION S.L.",005251,005251,M06,THF,,1,0,35.00,0.00,1.00,0.00,28,,14,2011-05-24,ALBACETE,"PZ. MAYOR, 18","RODA, LA (ALBACETE)",02630,967441860
